ID,Test Steps,Expected results,A result,Comment
UI-CH-051,"Mở ChatScreen","Hiển thị header với ảnh, tên đối phương và nút quay lại","Not Run","ChatScreenHeader.kt"
UI-CH-052,"Nhấn nút quay lại ở header","Điều hướng về màn 'message'","Not Run","IconButton navController.navigate('message')"
UI-CH-053,"Nhấn avatar hoặc tên ở header","Điều hướng tới 'matched_detailed_profile/<user_json>'","Not Run","Click Column trong header"
UI-CH-054,"Nhấn nút Info ở header","Điều hướng tới 'matched_detailed_profile/<user_json>'","Not Run","Icons.Filled.Info"
UI-CH-055,"Quan sát danh sách chat","Tin nhắn của bạn hiển thị bên phải (UserChatBox), đối phương bên trái (PartnerChatBox)","Not Run","Phân loại theo senderId"
UI-CH-056,"Khi có tin nhắn mới hoặc bàn phím mở","Danh sách cuộn xuống cuối (item cuối)","Not Run","animateScrollToItem(lastIndex)"
UI-CH-057,"Nhấn nút 'Chat bot giúp đỡ giao tiếp'","Điều hướng tới màn 'chatWithAi'","Not Run","Button navController.navigate('chatWithAi')"
UI-CH-058,"Quan sát ô nhập tin nhắn","Hiển thị placeholder 'Gõ tin nhắn...' khi trống","Not Run","BasicTextField decorationBox"
UI-CH-059,"Nhấn nút bóng đèn (AI gợi ý) khi chưa có gợi ý","Ô nhập được điền gợi ý (Icebreaker)","Not Run","geminiViewModel.loadIcebreakers()"
UI-CH-060,"Nút bóng đèn khi đã có gợi ý 'Đang suy nghĩ...'","Hiển thị 'Đang suy nghĩ...' đến khi có gợi ý thực","Not Run","suggestionText xử lý"
UI-CH-061,"Nhấn nút 'Gửi GameCard'","Thêm thẻ GameCard vào danh sách chat","Not Run","chatViewModel.createGameCard()"
UI-CH-062,"Ô nhập trống","Nút gửi (Send) bị vô hiệu hóa và nền xám","Not Run","enabled = input.isNotBlank()"
UI-CH-063,"Nhập nội dung rồi nhấn gửi","Tin nhắn xuất hiện trong danh sách, căn phải","Not Run","viewModel.sendMessage(matchId)"
UI-CH-064,"Kéo danh sách chat xuống dưới cùng","Các item được căn đều, khoảng cách 10dp","Not Run","LazyColumn verticalArrangement"

UI-MS-065,"Mở MessageScreen khi đang tải","Hiển thị vòng tải 'HeartLoading'","Not Run","state.isLoading"
UI-MS-066,"MessageScreen khi không có matchedUsers","Hiển thị 'NothingToLoad' với gợi ý đi ghép đôi","Not Run","stringResource no_matches_yet/go_match_now"
UI-MS-067,"Nhấn avatar trong danh sách matched","Điều hướng tới 'chat/<json_user>'","Not Run","MatchedPeople onAvatarClick"
UI-MS-068,"Quan sát tiêu đề Messages","Hiển thị nhãn 'messages' đậm 24sp","Not Run","Text(stringResource(R.string.messages))"
UI-MS-069,"Danh sách chat có nội dung","Xuất hiện các hàng chat (ChatRow) cách nhau 12dp","Not Run","LazyColumn spacing"
UI-MS-070,"Khi chatList thay đổi","Cuộn đến item đầu (mới nhất)","Not Run","animateScrollToItem(0)"

UI-ED-071,"Mở EditProfileScreen","Hiển thị thanh điều hướng 2 tab: 'Hiển thị' và 'Thông tin'","Not Run","EditProfileNavBar R.string.display/information"
UI-ED-072,"Nhấn tab 'Hiển thị'","Nội dung 'PublicInformation' được hiển thị","Not Run","openPublicInformation=true"
UI-ED-073,"Nhấn tab 'Thông tin'","Nội dung 'Information' được hiển thị","Not Run","openPublicInformation=false"

UI-ED-074,"Trong PublicInformation: nhấn 'Upload Image'","Mở trình chọn ảnh, chọn xong hiển thị preview trong khung tròn","Not Run","UploadAvatar rememberLauncherForActivityResult"
UI-ED-075,"Trong PublicInformation: nhấn vào khung ảnh tròn","Mở picker chọn ảnh","Not Run","clickable launcher"
UI-ED-076,"Trong EditProfileImage: nhấn thêm ảnh","Ảnh mới được thêm vào lưới ảnh","Not Run","ImageUploadField onAddClick"
UI-ED-077,"Trong EditProfileImage: xóa một ảnh","Ảnh bị loại khỏi lưới","Not Run","onRemoveClick"
UI-ED-078,"Trong Selections: mở 'Sở thích'","Danh sách tag hiển thị, có thể thêm/xóa","Not Run","SelectionBox(labelDB='interests')"
UI-ED-079,"Trong Selections: mở 'Kiểu ưa thích'","Có thể thêm/xóa lựa chọn mong muốn đối tượng","Not Run","SelectionBox(labelDB='partnerPreferences')"
UI-ED-080,"Trong Selections: mở 'Tôn giáo'","Có thể thêm/xóa tôn giáo","Not Run","SelectionBox(labelDB='religions')"
UI-ED-081,"Trong Selections: chỉnh 'Bio'","Nhập và lưu mô tả bản thân","Not Run","WriteBox(labelDB='bio')"
UI-ED-082,"Trong Selections: chỉnh 'Life style'","Nhập và lưu phong cách sống","Not Run","WriteBox(labelDB='lifestyle')"

UI-ED-083,"Trong Information: sửa 'Tên'","Giá trị mới hiển thị trong ô; không crash","Not Run","EditableInfoField('name')"
UI-ED-084,"Trong Information: chọn 'Giới tính'","Mở dropdown chọn giới tính và hiển thị giá trị chọn","Not Run","EditableDropdownField('gender', AppConstants.gender)"
UI-ED-085,"Trong Information: chọn 'Ngày sinh'","Mở Date picker, ngày chọn hiển thị đúng định dạng yyyy-MM-dd","Not Run","DateInfoField('dob')"
UI-ED-086,"Trong Information: chọn 'Địa điểm'","Mở dropdown các tỉnh thành VN và hiển thị giá trị chọn","Not Run","EditableDropdownField('location', AppConstants.vietnamProvinces)"
UI-ED-087,"Trong Information: nhập 'Số điện thoại'","Ô hiển thị giá trị nhập; không crash","Not Run","EditableInfoField('phone')"
UI-ED-088,"Trong Information: xem 'Email'","Email hiện tại hiển thị trong ô","Not Run","EditableInfoField('email')"

UI-ST-089,"Mở SettingsScreen","Hiển thị 'Settings' và mục 'Theme' + 'Language'","Not Run","SettingScreen.kt"
UI-ST-090,"Chuyển nút Theme sang On (Dark)","Màu nền và icon chuyển tương ứng chế độ tối","Not Run","AnimatedSwitch ThemeSingleton.toggle()"
UI-ST-091,"Chuyển nút Language sang On (English)","App đổi ngôn ngữ và Activity recreate","Not Run","LanguageSingleton.toggle()/updateLocale + recreate()"

UI-MP-092,"Mở MyProfileScreen","Hiển thị nền cong gradient và nội dung hồ sơ","Not Run","MyProfileContent()"
UI-MP-093,"Quan sát nút DatingButton","Nút hiển thị bên dưới nội dung hồ sơ","Not Run","DatingButton()"

UI-DP-094,"Mở DetailedProfileScreen","Hiển thị header, ảnh, thông tin chi tiết","Not Run","DetailedProfileHeader/Image/DetailInfo"
UI-DP-095,"Nhấn Like trong DetailedProfile","Gửi swipe RIGHT qua ViewModel","Not Run","viewModel.swipe(SwipeService.SwipeType.RIGHT)"
UI-DP-096,"Khi match thành công","Hiển thị MatchSuccessfullyCard","Not Run","alertViewModel.isMatchSuccessfullyCard"
UI-DP-097,"Đóng MatchSuccessfullyCard","Điều hướng tới 'likeYou'","Not Run","navController.navigate('likeYou')"
